# Athena++ history data
# [1]=time     [2]=dt       [3]=mass     [4]=1-mom    [5]=2-mom    [6]=3-mom    [7]=1-KE     [8]=2-KE     [9]=3-KE     [10]=tot-E   
  6.35003e+01  7.20712e-04  3.36631e-02  1.35777e-03  4.14412e-02  0.00000e+00  1.16394e-03  3.37340e-02  0.00000e+00  4.44279e-02
  6.40001e+01  7.13652e-04  3.21556e-02  4.80222e-04  3.95632e-02  0.00000e+00  9.31423e-04  3.17969e-02  0.00000e+00  4.18676e-02
  6.45007e+01  7.54216e-04  3.07572e-02  7.85709e-04  3.76533e-02  0.00000e+00  6.94161e-04  2.99456e-02  0.00000e+00  3.93584e-02
  6.50000e+01  7.38334e-04  2.94421e-02  1.32884e-03  3.66522e-02  0.00000e+00  9.12931e-04  2.98062e-02  0.00000e+00  3.89720e-02
  6.55006e+01  7.15641e-04  2.80836e-02  6.38318e-04  3.47977e-02  0.00000e+00  8.67908e-04  2.79118e-02  0.00000e+00  3.65503e-02
  6.60004e+01  7.20599e-04  2.70377e-02  7.08237e-04  3.39277e-02  0.00000e+00  6.62253e-04  2.75937e-02  0.00000e+00  3.57514e-02
  6.65003e+01  7.18726e-04  2.58830e-02  5.58457e-04  3.23262e-02  0.00000e+00  7.01636e-04  2.60925e-02  0.00000e+00  3.38353e-02
  6.70001e+01  7.33097e-04  2.49296e-02  2.57861e-04  3.16192e-02  0.00000e+00  7.25083e-04  2.58246e-02  0.00000e+00  3.33401e-02
  6.75006e+01  7.20554e-04  2.39946e-02  4.11253e-04  3.04618e-02  0.00000e+00  6.87511e-04  2.48509e-02  0.00000e+00  3.20307e-02
  6.80004e+01  7.18882e-04  2.29763e-02  6.34617e-04  2.94385e-02  0.00000e+00  6.79103e-04  2.42867e-02  0.00000e+00  3.12720e-02
  6.85004e+01  7.20086e-04  2.21962e-02  7.44515e-05  2.80960e-02  0.00000e+00  6.27767e-04  2.27692e-02  0.00000e+00  2.92625e-02
  6.90007e+01  7.23188e-04  2.12828e-02  3.44445e-04  2.70874e-02  0.00000e+00  5.70417e-04  2.19811e-02  0.00000e+00  2.82410e-02
  6.95004e+01  7.26365e-04  2.05719e-02  4.32708e-05  2.62720e-02  0.00000e+00  5.40001e-04  2.13981e-02  0.00000e+00  2.75096e-02
  7.00000e+01  6.83623e-04  1.98982e-02  1.82442e-05  2.58166e-02  0.00000e+00  6.31241e-04  2.15003e-02  0.00000e+00  2.74924e-02
  7.05001e+01  7.27695e-04  1.92185e-02  1.23606e-04  2.43908e-02  0.00000e+00  5.64814e-04  1.96708e-02  0.00000e+00  2.52937e-02
  7.10005e+01  7.22266e-04  1.85623e-02  4.02848e-04  2.38370e-02  0.00000e+00  5.47024e-04  1.94962e-02  0.00000e+00  2.50001e-02
  7.15007e+01  7.02363e-04  1.79452e-02 -1.22887e-04  2.30901e-02  0.00000e+00  4.39352e-04  1.89180e-02  0.00000e+00  2.41720e-02
  7.20001e+01  6.79870e-04  1.75176e-02 -3.52714e-04  2.27491e-02  0.00000e+00  4.91032e-04  1.87108e-02  0.00000e+00  2.38412e-02
  7.25003e+01  7.31258e-04  1.69699e-02 -8.69585e-05  2.19104e-02  0.00000e+00  4.41233e-04  1.79227e-02  0.00000e+00  2.28382e-02
  7.30001e+01  6.89917e-04  1.64710e-02  1.41283e-04  2.14276e-02  0.00000e+00  5.17890e-04  1.76900e-02  0.00000e+00  2.26102e-02
  7.35003e+01  7.01962e-04  1.60742e-02 -3.09037e-04  2.08304e-02  0.00000e+00  4.14046e-04  1.71651e-02  0.00000e+00  2.18611e-02
  7.40003e+01  6.74831e-04  1.57029e-02 -1.43436e-04  2.03985e-02  0.00000e+00  4.11740e-04  1.67329e-02  0.00000e+00  2.12340e-02
  7.45000e+01  7.27418e-04  1.51135e-02 -1.07003e-04  1.96509e-02  0.00000e+00  3.89545e-04  1.61710e-02  0.00000e+00  2.05318e-02
